sequence_id,tof_prop_missing,gesture,pred_imu,pred_all
SEQ_005289,0.0,Above ear - pull hair,Neck - scratch,Neck - scratch
SEQ_005298,0.2,Text on phone,Text on phone,Text on phone
SEQ_005299,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_005301,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_005305,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_005306,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_005307,0.0,Eyebrow - pull hair,Neck - pinch skin,Cheek - pinch skin
SEQ_005308,0.2,Eyebrow - pull hair,Forehead - scratch,Forehead - scratch
SEQ_005310,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_005334,0.2,Write name on leg,Write name on leg,Write name on leg
SEQ_005347,0.0,Neck - pinch skin,Neck - scratch,Neck - scratch
SEQ_005354,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_005363,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_005379,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_005400,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_005401,0.0,Wave hello,Wave hello,Wave hello
SEQ_005403,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_005404,0.0,Wave hello,Wave hello,Wave hello
SEQ_005411,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_005412,0.0,Text on phone,Text on phone,Text on phone
SEQ_005414,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_005417,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_005426,0.0,Eyebrow - pull hair,Cheek - pinch skin,Eyebrow - pull hair
SEQ_005434,0.0,Text on phone,Text on phone,Text on phone
SEQ_005436,0.0,Neck - scratch,Neck - pinch skin,Neck - scratch
SEQ_005448,0.0,Wave hello,Wave hello,Wave hello
SEQ_005450,0.0,Neck - pinch skin,Above ear - pull hair,Cheek - pinch skin
SEQ_005451,0.0,Text on phone,Text on phone,Text on phone
SEQ_005476,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_005479,0.0,Neck - scratch,Cheek - pinch skin,Neck - pinch skin
SEQ_005484,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_005485,0.0,Cheek - pinch skin,Neck - pinch skin,Cheek - pinch skin
SEQ_005491,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_005495,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_005500,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_005502,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_005504,0.2,Wave hello,Wave hello,Wave hello
SEQ_005514,0.2,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_005518,0.0,Text on phone,Text on phone,Text on phone
SEQ_005524,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_005532,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_005544,0.0,Cheek - pinch skin,Eyebrow - pull hair,Cheek - pinch skin
SEQ_005562,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_005579,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_005590,0.0,Wave hello,Wave hello,Wave hello
SEQ_005602,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_005614,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_005619,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_005625,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_005627,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_005628,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_005637,0.0,Neck - scratch,Cheek - pinch skin,Cheek - pinch skin
SEQ_005643,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_005644,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_005662,0.0,Forehead - scratch,Forehead - pull hairline,Forehead - pull hairline
SEQ_005677,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_005690,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_005699,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_005701,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_005704,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_005705,0.0,Wave hello,Wave hello,Wave hello
SEQ_005715,0.0,Neck - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_005721,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_005727,0.0,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline
SEQ_005736,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_005737,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_005754,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_005768,0.0,Wave hello,Wave hello,Wave hello
SEQ_005769,0.0,Text on phone,Text on phone,Text on phone
SEQ_005778,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_005795,0.0,Forehead - scratch,Forehead - pull hairline,Forehead - scratch
SEQ_005796,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_005802,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyebrow - pull hair
SEQ_005815,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_005818,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_005822,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_005831,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_005835,0.0,Above ear - pull hair,Above ear - pull hair,Neck - pinch skin
SEQ_005837,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_005851,0.0,Neck - pinch skin,Above ear - pull hair,Eyebrow - pull hair
SEQ_005852,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_005854,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_005856,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_005857,0.0,Text on phone,Text on phone,Text on phone
SEQ_005875,0.0,Forehead - scratch,Cheek - pinch skin,Above ear - pull hair
SEQ_005879,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_005891,0.0,Forehead - scratch,Forehead - pull hairline,Forehead - scratch
SEQ_005893,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_005900,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_005903,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_005910,0.2,Wave hello,Wave hello,Wave hello
SEQ_005922,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_005924,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_005940,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_005941,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_005942,0.0,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_005951,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_005963,0.0,Text on phone,Text on phone,Text on phone
SEQ_005967,0.0,Cheek - pinch skin,Neck - pinch skin,Neck - scratch
SEQ_005990,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_005997,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_005998,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_006001,0.0,Wave hello,Wave hello,Wave hello
SEQ_006003,0.0,Neck - pinch skin,Neck - pinch skin,Neck - scratch
SEQ_006004,0.0,Text on phone,Text on phone,Text on phone
SEQ_006006,0.0,Pull air toward your face,Write name in air,Pull air toward your face
SEQ_006009,0.0,Scratch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_006011,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_006013,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_006022,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_006064,0.0,Neck - scratch,Write name in air,Above ear - pull hair
SEQ_006067,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_006070,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_006088,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_006090,0.0,Text on phone,Text on phone,Text on phone
SEQ_006096,0.0,Text on phone,Text on phone,Text on phone
SEQ_006103,0.2,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_006110,0.0,Neck - scratch,Forehead - scratch,Forehead - scratch
SEQ_006112,0.0,Text on phone,Text on phone,Text on phone
SEQ_006113,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_006119,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_006134,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_006135,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_006160,0.0,Neck - scratch,Eyelash - pull hair,Neck - pinch skin
SEQ_006161,0.0,Forehead - scratch,Neck - scratch,Forehead - scratch
SEQ_006171,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_006173,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_006179,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_006186,0.0,Feel around in tray and pull out an object,Write name on leg,Feel around in tray and pull out an object
SEQ_006188,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_006194,0.0,Text on phone,Text on phone,Text on phone
SEQ_006201,0.0,Cheek - pinch skin,Above ear - pull hair,Above ear - pull hair
SEQ_006205,0.0,Eyelash - pull hair,Forehead - scratch,Text on phone
SEQ_006210,0.0,Write name in air,Forehead - pull hairline,Feel around in tray and pull out an object
SEQ_006217,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_006225,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_006226,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_006229,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_006232,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_006239,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_006241,0.0,Text on phone,Text on phone,Text on phone
SEQ_006248,0.0,Forehead - pull hairline,Neck - pinch skin,Eyebrow - pull hair
SEQ_006250,0.0,Neck - pinch skin,Eyebrow - pull hair,Neck - scratch
SEQ_006252,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_006274,0.0,Text on phone,Text on phone,Text on phone
SEQ_006287,0.0,Text on phone,Text on phone,Text on phone
SEQ_006292,0.0,Eyebrow - pull hair,Forehead - pull hairline,Forehead - pull hairline
SEQ_006337,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_006343,0.0,Eyelash - pull hair,Neck - pinch skin,Eyebrow - pull hair
SEQ_006366,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_006372,0.0,Eyebrow - pull hair,Forehead - pull hairline,Eyebrow - pull hair
SEQ_006380,0.2,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_006388,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_006404,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_006407,0.0,Wave hello,Wave hello,Wave hello
SEQ_006414,0.0,Wave hello,Feel around in tray and pull out an object,Wave hello
SEQ_006418,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_006444,0.0,Neck - scratch,Neck - pinch skin,Neck - pinch skin
SEQ_006446,0.0,Neck - scratch,Forehead - scratch,Neck - scratch
SEQ_006460,0.0,Write name on leg,Scratch knee/leg skin,Write name on leg
SEQ_006470,0.0,Text on phone,Text on phone,Text on phone
SEQ_006503,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_006522,0.0,Neck - pinch skin,Neck - pinch skin,Pull air toward your face
SEQ_006529,0.0,Scratch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_006535,0.0,Neck - pinch skin,Eyelash - pull hair,Eyelash - pull hair
SEQ_006545,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_006550,0.0,Forehead - pull hairline,Above ear - pull hair,Eyebrow - pull hair
SEQ_006554,1.0,Text on phone,Text on phone,Text on phone
SEQ_006585,0.0,Forehead - scratch,Above ear - pull hair,Eyebrow - pull hair
SEQ_006589,0.0,Neck - pinch skin,Neck - scratch,Neck - scratch
SEQ_006591,0.0,Neck - pinch skin,Eyebrow - pull hair,Cheek - pinch skin
SEQ_006592,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_006597,0.2,Wave hello,Wave hello,Wave hello
SEQ_006608,0.0,Forehead - scratch,Forehead - scratch,Eyebrow - pull hair
SEQ_006612,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_006614,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_006621,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_006628,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_006637,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_006638,0.0,Forehead - pull hairline,Neck - scratch,Above ear - pull hair
SEQ_006639,0.0,Wave hello,Wave hello,Wave hello
SEQ_006648,0.0,Wave hello,Wave hello,Wave hello
SEQ_006649,0.0,Above ear - pull hair,Neck - pinch skin,Neck - pinch skin
SEQ_006664,0.0,Text on phone,Text on phone,Text on phone
SEQ_006674,0.0,Eyebrow - pull hair,Neck - pinch skin,Cheek - pinch skin
SEQ_006676,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_006678,0.0,Eyebrow - pull hair,Cheek - pinch skin,Eyebrow - pull hair
SEQ_006682,0.0,Eyebrow - pull hair,Eyelash - pull hair,Eyebrow - pull hair
SEQ_006683,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_006684,0.0,Neck - pinch skin,Neck - pinch skin,Feel around in tray and pull out an object
SEQ_006693,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_006696,0.0,Above ear - pull hair,Neck - pinch skin,Above ear - pull hair
SEQ_006723,0.0,Text on phone,Text on phone,Text on phone
SEQ_006730,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_006745,0.0,Cheek - pinch skin,Forehead - pull hairline,Cheek - pinch skin
SEQ_006753,0.0,Cheek - pinch skin,Eyebrow - pull hair,Cheek - pinch skin
SEQ_006757,0.0,Neck - pinch skin,Cheek - pinch skin,Neck - pinch skin
SEQ_006779,0.0,Write name in air,Write name in air,Write name in air
SEQ_006780,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_006789,0.0,Text on phone,Text on phone,Text on phone
SEQ_006800,0.0,Pinch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_006807,0.0,Neck - pinch skin,Above ear - pull hair,Neck - pinch skin
SEQ_006809,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_006810,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_006812,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_006816,1.0,Above ear - pull hair,Neck - pinch skin,Neck - pinch skin
SEQ_006817,0.0,Above ear - pull hair,Neck - pinch skin,Above ear - pull hair
SEQ_006819,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_006825,0.0,Forehead - scratch,Forehead - pull hairline,Forehead - scratch
SEQ_006839,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_006842,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_006847,0.0,Text on phone,Text on phone,Text on phone
SEQ_006861,0.0,Neck - scratch,Neck - scratch,Neck - pinch skin
SEQ_006862,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_006867,0.0,Above ear - pull hair,Cheek - pinch skin,Cheek - pinch skin
SEQ_006868,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_006872,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_006875,0.0,Eyebrow - pull hair,Cheek - pinch skin,Eyebrow - pull hair
SEQ_006881,0.0,Text on phone,Text on phone,Text on phone
SEQ_006897,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_006902,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_006905,0.0,Eyelash - pull hair,Cheek - pinch skin,Eyelash - pull hair
SEQ_006918,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_006944,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_006948,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_006951,0.0,Write name in air,Write name in air,Write name in air
SEQ_006962,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_006964,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_006965,0.0,Text on phone,Text on phone,Text on phone
SEQ_006990,0.0,Text on phone,Text on phone,Text on phone
SEQ_007000,0.0,Cheek - pinch skin,Eyebrow - pull hair,Cheek - pinch skin
SEQ_007009,0.0,Text on phone,Text on phone,Text on phone
SEQ_007016,0.0,Eyebrow - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_007022,0.0,Eyelash - pull hair,Neck - pinch skin,Cheek - pinch skin
SEQ_007031,0.0,Eyelash - pull hair,Neck - scratch,Eyelash - pull hair
SEQ_007032,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_007039,0.0,Cheek - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_007045,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_007048,0.0,Neck - scratch,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_007055,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_007059,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_007060,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_007068,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_007071,0.0,Neck - pinch skin,Neck - pinch skin,Above ear - pull hair
SEQ_007076,0.0,Forehead - pull hairline,Cheek - pinch skin,Forehead - pull hairline
SEQ_007077,0.0,Eyelash - pull hair,Eyelash - pull hair,Eyelash - pull hair
SEQ_007102,0.0,Write name in air,Write name in air,Write name in air
SEQ_007114,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_007118,0.2,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_007123,0.0,Neck - pinch skin,Neck - scratch,Neck - pinch skin
SEQ_007124,0.0,Cheek - pinch skin,Forehead - pull hairline,Neck - pinch skin
SEQ_007139,0.0,Eyebrow - pull hair,Forehead - scratch,Forehead - scratch
SEQ_007152,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_007155,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_007161,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_007168,0.0,Forehead - pull hairline,Neck - pinch skin,Forehead - pull hairline
SEQ_007177,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_007179,0.2,Write name in air,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_007183,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_007201,0.0,Wave hello,Wave hello,Wave hello
SEQ_007204,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_007218,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_007243,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_007259,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_007285,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_007291,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_007296,0.0,Wave hello,Wave hello,Wave hello
SEQ_007327,0.0,Forehead - scratch,Forehead - pull hairline,Forehead - pull hairline
SEQ_007335,0.0,Neck - pinch skin,Neck - pinch skin,Neck - pinch skin
SEQ_007345,0.0,Write name in air,Write name in air,Write name in air
SEQ_007357,0.0,Neck - scratch,Neck - scratch,Cheek - pinch skin
SEQ_007387,0.0,Neck - pinch skin,Eyebrow - pull hair,Neck - pinch skin
SEQ_007391,0.0,Text on phone,Text on phone,Text on phone
SEQ_007400,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_007402,0.0,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_007410,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_007424,0.0,Text on phone,Text on phone,Text on phone
SEQ_007433,0.0,Forehead - scratch,Forehead - pull hairline,Forehead - scratch
SEQ_007439,0.2,Pinch knee/leg skin,Pinch knee/leg skin,Pinch knee/leg skin
SEQ_007466,0.0,Forehead - pull hairline,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_007468,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_007475,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_007502,0.0,Text on phone,Text on phone,Text on phone
SEQ_007515,0.0,Eyelash - pull hair,Eyebrow - pull hair,Cheek - pinch skin
SEQ_007525,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_007537,0.0,Wave hello,Wave hello,Wave hello
SEQ_007540,0.2,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_007549,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_007558,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_007583,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_007587,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_007588,0.0,Eyebrow - pull hair,Neck - pinch skin,Above ear - pull hair
SEQ_007596,0.0,Neck - pinch skin,Cheek - pinch skin,Neck - pinch skin
SEQ_007622,0.0,Text on phone,Text on phone,Text on phone
SEQ_007633,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_007634,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_007639,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_007640,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_007647,0.0,Eyelash - pull hair,Forehead - pull hairline,Cheek - pinch skin
SEQ_007649,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_007650,0.0,Above ear - pull hair,Above ear - pull hair,Above ear - pull hair
SEQ_007653,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_007654,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_007655,0.0,Text on phone,Text on phone,Text on phone
SEQ_007668,0.0,Neck - scratch,Forehead - scratch,Neck - scratch
SEQ_007669,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_007686,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyelash - pull hair
SEQ_007689,0.0,Neck - scratch,Neck - scratch,Neck - scratch
SEQ_007708,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_007712,0.0,Wave hello,Wave hello,Wave hello
SEQ_007740,0.0,Forehead - scratch,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_007752,0.0,Wave hello,Wave hello,Wave hello
SEQ_007754,0.0,Feel around in tray and pull out an object,Feel around in tray and pull out an object,Feel around in tray and pull out an object
SEQ_007756,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_007757,0.0,Above ear - pull hair,Forehead - pull hairline,Eyebrow - pull hair
SEQ_007761,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_007769,0.0,Cheek - pinch skin,Cheek - pinch skin,Cheek - pinch skin
SEQ_007777,0.0,Wave hello,Wave hello,Wave hello
SEQ_007794,0.0,Neck - scratch,Neck - pinch skin,Neck - pinch skin
SEQ_007807,0.0,Write name in air,Write name in air,Write name in air
SEQ_007825,0.0,Wave hello,Wave hello,Wave hello
SEQ_007864,0.0,Neck - pinch skin,Above ear - pull hair,Eyebrow - pull hair
SEQ_007877,0.0,Neck - scratch,Above ear - pull hair,Above ear - pull hair
SEQ_007892,0.0,Drink from bottle/cup,Drink from bottle/cup,Drink from bottle/cup
SEQ_007893,0.0,Cheek - pinch skin,Eyebrow - pull hair,Cheek - pinch skin
SEQ_007899,0.0,Glasses on/off,Glasses on/off,Glasses on/off
SEQ_007906,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_007910,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Scratch knee/leg skin
SEQ_007913,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_007917,0.0,Eyelash - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_007920,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_007924,1.0,Text on phone,Text on phone,Text on phone
SEQ_007927,0.0,Cheek - pinch skin,Cheek - pinch skin,Eyelash - pull hair
SEQ_007929,0.2,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_007937,0.0,Scratch knee/leg skin,Scratch knee/leg skin,Pinch knee/leg skin
SEQ_007940,0.0,Wave hello,Wave hello,Wave hello
SEQ_007941,0.0,Write name on leg,Write name on leg,Write name on leg
SEQ_007943,0.0,Above ear - pull hair,Neck - pinch skin,Above ear - pull hair
SEQ_007946,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_007955,0.0,Eyebrow - pull hair,Eyebrow - pull hair,Eyebrow - pull hair
SEQ_007971,0.0,Neck - scratch,Above ear - pull hair,Neck - pinch skin
SEQ_007978,0.0,Forehead - pull hairline,Forehead - pull hairline,Forehead - pull hairline
SEQ_007995,0.0,Forehead - scratch,Forehead - scratch,Forehead - scratch
SEQ_008001,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
SEQ_008002,0.0,Text on phone,Write name in air,Text on phone
SEQ_008007,0.0,Neck - scratch,Forehead - scratch,Cheek - pinch skin
SEQ_008014,0.0,Pull air toward your face,Pull air toward your face,Pull air toward your face
